slug,url
daniel-goldfarb,https://signal.nfx.com/investors/daniel-goldfarb
daniel-heck,https://signal.nfx.com/investors/daniel-heck
daniel-hersson,https://signal.nfx.com/investors/daniel-hersson
daniel-horner,https://signal.nfx.com/investors/daniel-horner
daniel-ibri_1,https://signal.nfx.com/investors/daniel-ibri_1
daniel-kim_2,https://signal.nfx.com/investors/daniel-kim_2
daniel-kim_3,https://signal.nfx.com/investors/daniel-kim_3
daniel-lieberman,https://signal.nfx.com/investors/daniel-lieberman
daniel-liu,https://signal.nfx.com/investors/daniel-liu
daniel-loeb,https://signal.nfx.com/investors/daniel-loeb
daniel-magalhaes,https://signal.nfx.com/investors/daniel-magalhaes
daniel-matumoto,https://signal.nfx.com/investors/daniel-matumoto
daniel-milstein,https://signal.nfx.com/investors/daniel-milstein
daniel-minsu-kim,https://signal.nfx.com/investors/daniel-minsu-kim
daniel-niemi,https://signal.nfx.com/investors/daniel-niemi
daniel-perez-garcia,https://signal.nfx.com/investors/daniel-perez-garcia
daniel-pinargote-escudero,https://signal.nfx.com/investors/daniel-pinargote-escudero
daniel-recanati,https://signal.nfx.com/investors/daniel-recanati
daniel-restrepo-arango,https://signal.nfx.com/investors/daniel-restrepo-arango
daniel-rosengren,https://signal.nfx.com/investors/daniel-rosengren
daniel-salzner,https://signal.nfx.com/investors/daniel-salzner
daniel-scattolon-becker,https://signal.nfx.com/investors/daniel-scattolon-becker
daniel-sottosanti,https://signal.nfx.com/investors/daniel-sottosanti
daniel-tapson,https://signal.nfx.com/investors/daniel-tapson
daniel-tomov,https://signal.nfx.com/investors/daniel-tomov
daniel-tu,https://signal.nfx.com/investors/daniel-tu
daniel-tully_1,https://signal.nfx.com/investors/daniel-tully_1
daniel-vogel,https://signal.nfx.com/investors/daniel-vogel
daniel-waterhouse,https://signal.nfx.com/investors/daniel-waterhouse
daniel-wirjoprawiro,https://signal.nfx.com/investors/daniel-wirjoprawiro
daniel_2,https://signal.nfx.com/investors/daniel_2
daniela-i,https://signal.nfx.com/investors/daniela-i
daniela-raffel,https://signal.nfx.com/investors/daniela-raffel
daniela-tagle-belaunde,https://signal.nfx.com/investors/daniela-tagle-belaunde
daniella-cohen,https://signal.nfx.com/investors/daniella-cohen
danielle-jing,https://signal.nfx.com/investors/danielle-jing
danielle-lay,https://signal.nfx.com/investors/danielle-lay
